hour,n_samples,cpc_auc,cpc_acc,km_auc,km_acc
6,52,0.5380952380952381,0.5909090909090909,0.6033950617283951,0.3818181818181818
7,59,0.44652777777777786,0.6606060606060605,0.6238070185986853,0.5257575757575758
8,68,0.39636363636363636,0.6472527472527472,0.6805138974781831,0.5153846153846153
9,73,0.655050505050505,0.7114285714285714,0.7029380088606278,0.49523809523809526
10,80,0.7032051282051283,0.7,0.5428396372146371,0.475
11,92,0.6785714285714286,0.7292397660818714,0.696131044578757,0.5649122807017544
12,101,0.7605833333333333,0.7923809523809524,0.6198106058887793,0.4947619047619047
13,111,0.655686274509804,0.7660079051383398,0.7680385604273868,0.6114624505928854
14,120,0.611384015594542,0.7333333333333333,0.6451256920907389,0.475
15,127,0.7482807017543859,0.7633846153846156,0.7036889877694831,0.5498461538461539
16,132,0.7696031746031745,0.7655270655270655,0.697787108894895,0.47777777777777775
17,138,0.7239538239538241,0.7682539682539684,0.6703071448288485,0.5156084656084656
18,150,0.7109040717736369,0.7733333333333334,0.6421536886459487,0.4333333333333334
19,156,0.7382380952380952,0.7885080645161292,0.7157110923692184,0.50625
20,157,0.6571428571428571,0.7639112903225806,0.7011091115950451,0.4840725806451613
21,166,0.7604259937593272,0.7891265597147951,0.7224350685581306,0.584313725490196
22,171,0.7656084656084656,0.795126050420168,0.7804875768052111,0.5900840336134454
23,177,0.7751817968566737,0.8074603174603174,0.6938836404257388,0.4912698412698412
24,180,0.7325287356321839,0.7944444444444445,0.7022401014448227,0.5277777777777778
25,183,0.7517562724014336,0.830930930930931,0.6913648037407383,0.5027027027027027
26,183,0.7946697388632873,0.8198198198198199,0.7552094268970092,0.5690690690690691
27,183,0.7498310291858677,0.7816816816816816,0.7133696395402017,0.5954954954954956
28,186,0.8093701996927803,0.8445234708392604,0.6787317016518635,0.5376955903271693
29,185,0.7661443932411673,0.827027027027027,0.615295032481432,0.5513513513513514
30,187,0.7761904761904761,0.8236130867709814,0.5964267930948031,0.43769559032716926
31,190,0.77045410906298,0.8210526315789473,0.6251991873105642,0.5578947368421052
32,190,0.7110743087557603,0.8210526315789473,0.6318894130261681,0.5
33,191,0.7964045698924732,0.8273954116059379,0.6503159644515676,0.5288798920377868
34,192,0.7507440476190477,0.8021592442645072,0.5999764713458833,0.5522267206477733
35,192,0.7782738095238095,0.8334682860998651,0.6345614300404414,0.5310391363022943
36,192,0.8248511904761905,0.8647773279352226,0.5909305872159246,0.5265856950067477
37,190,0.77144777265745,0.8263157894736842,0.6187056817362018,0.5421052631578948
38,189,0.7881768433179723,0.8096728307254624,0.5886855940130209,0.5133712660028449
39,187,0.8350537634408601,0.8291607396870555,0.5954242758403814,0.43285917496443804
40,185,0.8619354838709677,0.854054054054054,0.5754274878720296,0.47027027027027024
41,184,0.7900716845878136,0.8261261261261261,0.6248552150095389,0.4837837837837838
42,182,0.7450640040962623,0.845945945945946,0.6822861891364929,0.5280780780780782
43,180,0.711264367816092,0.8,0.6392731339882028,0.5222222222222223
44,181,0.7692063492063492,0.8175675675675675,0.684357180238026,0.540990990990991
45,181,0.6608757525998905,0.7956456456456455,0.6676861801794747,0.496996996996997
46,181,0.6907991242474001,0.7843843843843844,0.6179866171858228,0.5085585585585586
47,176,0.7212878254750177,0.7952380952380953,0.6453788283189184,0.5176190476190476
48,174,0.8181210415200564,0.8450420168067228,0.6433824605328173,0.5057142857142857
49,173,0.7766948158573774,0.7971428571428572,0.6487107741191942,0.5321008403361345
50,174,0.8144851043865822,0.8621848739495798,0.6566853326491209,0.5060504201680672
51,175,0.7924231761670185,0.8571428571428571,0.7151798149757712,0.5542857142857142
