hour,AUC,Accuracy,Acc_class_0,Acc_class_1,Acc_class_2
6,0.5674122174122175,0.4064102564102564,0.35,0.5142857142857142,0.2
7,0.6536242514099657,0.4371428571428571,0.36,0.4892857142857142,0.5
8,0.6851886446886447,0.4533333333333333,0.2333333333333333,0.625,0.4
9,0.726174710063599,0.48300653594771237,0.3095238095238095,0.5527777777777778,0.6666666666666666
10,0.6905765106353341,0.5157894736842106,0.5178571428571429,0.5088888888888888,0.5333333333333333
11,0.708058782731829,0.4904761904761905,0.5178571428571429,0.5072727272727272,0.3833333333333333
12,0.7121205993080993,0.4061594202898551,0.725,0.21666666666666665,0.3666666666666666
13,0.7411078405422298,0.5741538461538462,0.6,0.5743589743589743,0.5
14,0.7524334703866968,0.5675213675213675,0.6399999999999999,0.4747252747252747,0.7
15,0.8042355482208425,0.6482758620689655,0.7636363636363637,0.5978021978021978,0.5
16,0.7739302529828845,0.6199999999999999,0.6363636363636364,0.5714285714285714,0.71
17,0.7524514575867731,0.5988636363636364,0.7282051282051282,0.4608333333333333,0.7000000000000001
18,0.7582768135252922,0.6014260249554367,0.7230769230769232,0.5025000000000001,0.5900000000000001
19,0.7411051975684463,0.5352941176470588,0.6549450549450551,0.45,0.49333333333333335
20,0.7483952404709062,0.5792792792792794,0.7352380952380952,0.4411764705882352,0.6000000000000001
21,0.7571022813831781,0.5660028449502134,0.6228571428571428,0.4856209150326798,0.6666666666666667
22,0.7574104431334823,0.6074224021592443,0.7161904761904762,0.4947712418300654,0.6714285714285715
23,0.7669788559336547,0.5520512820512821,0.6466666666666667,0.4222222222222222,0.7380952380952381
24,0.7494186152799156,0.534268292682927,0.7066666666666668,0.347953216374269,0.6714285714285714
25,0.746120070091587,0.5590243902439025,0.7733333333333334,0.37192982456140344,0.6095238095238095
26,0.7380049341683479,0.5464634146341464,0.7491666666666668,0.30818713450292395,0.7523809523809523
27,0.7845884781504842,0.6089430894308944,0.7291666666666667,0.48473684210526324,0.6952380952380952
28,0.782057136075534,0.5656213704994193,0.6675,0.4457894736842105,0.7047619047619047
29,0.7621565571302685,0.5740998838559814,0.73,0.441578947368421,0.5904761904761904
30,0.7546380299339237,0.5535991140642305,0.6950000000000001,0.44000000000000006,0.5523809523809524
31,0.763752971397899,0.5767441860465116,0.75,0.41000000000000003,0.6571428571428573
32,0.7616016793190707,0.5581395348837208,0.675,0.41,0.7142857142857142
33,0.7633299261080592,0.5788583509513743,0.7264705882352941,0.43000000000000005,0.6571428571428571
34,0.762587083185975,0.57938689217759,0.6316176470588235,0.51,0.6571428571428573
35,0.7846947545066685,0.5943974630021142,0.6544117647058824,0.49000000000000005,0.7464285714285713
36,0.7634173917096978,0.5485200845665962,0.7125,0.39,0.625
37,0.7773488450086916,0.5667019027484145,0.7029411764705882,0.4,0.7214285714285715
38,0.7790950407233442,0.5645877378435518,0.6191176470588236,0.4776190476190476,0.6928571428571428
39,0.7752763992832195,0.6071881606765328,0.7426470588235294,0.5033333333333333,0.5928571428571429
40,0.7473979849262243,0.5754756871035941,0.7772058823529411,0.4376190476190476,0.5071428571428571
41,0.7624613185070346,0.5654545454545454,0.7286764705882354,0.4071428571428572,0.6321428571428571
42,0.7545324668409353,0.5697979797979797,0.6647058823529411,0.4795238095238095,0.6
43,0.7905831417914582,0.6044444444444445,0.7426470588235294,0.4609523809523809,0.6861111111111111
44,0.7649781125498615,0.5466666666666666,0.5573529411764706,0.4576190476190476,0.7444444444444445
45,0.7734569236897624,0.5720772946859902,0.7080882352941177,0.4147619047619047,0.6944444444444444
