hour,AUC,Accuracy,Acc_class_0,Acc_class_1
6,0.7511111111111111,0.591025641025641,0.5422222222222223,0.75
7,0.7181818181818183,0.6533333333333333,0.6545454545454545,0.6166666666666667
8,0.7763888888888889,0.35666666666666663,0.23333333333333334,0.85
9,0.8311355311355312,0.6176470588235293,0.5802197802197803,0.7166666666666666
10,0.8147916666666667,0.7657894736842106,0.7791666666666666,0.74
11,0.868970588235294,0.6670995670995671,0.6213235294117647,0.8099999999999999
12,0.8131773879142301,0.7514492753623189,0.8228070175438595,0.5
13,0.8093157894736842,0.7298461538461539,0.7457894736842106,0.68
14,0.8177777777777777,0.7142450142450142,0.7047619047619047,0.74
15,0.8227931488801055,0.6714285714285715,0.6569169960474308,0.7266666666666667
16,0.7864130434782608,0.7029885057471263,0.7246376811594203,0.6285714285714284
17,0.8343223443223444,0.8125,0.8264615384615384,0.7476190476190476
18,0.8512142178808846,0.7714795008912656,0.7814814814814814,0.7333333333333334
19,0.8306878306878309,0.7764705882352941,0.8222222222222222,0.6
20,0.8598214285714286,0.8,0.7985221674876847,0.8035714285714285
21,0.8666666666666668,0.8172119487908962,0.8466666666666667,0.6928571428571428
22,0.8591013824884793,0.8321187584345479,0.8387096774193548,0.8071428571428572
23,0.8220982142857143,0.7455128205128205,0.71875,0.8607142857142858
24,0.8614380411255411,0.8393589743589743,0.8956439393939395,0.5892857142857142
25,0.8747598755411256,0.8192307692307692,0.8407196969696968,0.725
26,0.862212527056277,0.6599999999999999,0.6098484848484849,0.8857142857142858
27,0.8577349121466767,0.8043902439024391,0.8151515151515151,0.7464285714285714
28,0.8590718105423987,0.8086585365853658,0.8153297682709448,0.775
29,0.8469537815126049,0.8060394889663183,0.8235294117647058,0.7321428571428572
30,0.889435774309724,0.7714285714285714,0.7766386554621849,0.7607142857142858
31,0.8769727891156462,0.8016611295681063,0.795079365079365,0.8357142857142857
32,0.88797052154195,0.7965669988925803,0.8004761904761905,0.7857142857142858
33,0.8741269841269841,0.8032115171650055,0.7971428571428572,0.8321428571428571
34,0.8687641723356009,0.7663344407530455,0.7699999999999999,0.7535714285714284
35,0.8670521541950112,0.7457364341085271,0.7285714285714285,0.8285714285714285
36,0.8884467120181407,0.8222591362126245,0.8544444444444445,0.6714285714285714
37,0.8781632653061224,0.7461794019933554,0.7404761904761906,0.7785714285714286
38,0.8488888888888889,0.6930232558139535,0.6865079365079365,0.7321428571428571
39,0.8547619047619047,0.7552854122621564,0.7661904761904761,0.7035714285714286
40,0.8540873015873016,0.7100422832980973,0.6876190476190476,0.8035714285714286
41,0.8452380952380952,0.7667019027484144,0.7777777777777778,0.7214285714285714
42,0.8765336765336766,0.8,0.8172672672672672,0.7214285714285714
43,0.8752574002574003,0.7356565656565656,0.7612612612612613,0.6071428571428571
44,0.860228978978979,0.8305050505050504,0.8753753753753755,0.625
45,0.8421171171171171,0.7564251207729468,0.8162162162162163,0.48611111111111105
46,0.8397147147147148,0.7564251207729469,0.7783783783783784,0.663888888888889
47,0.8456456456456456,0.8318840579710145,0.8810810810810811,0.6138888888888889
48,0.8735874031926663,0.7275362318840579,0.6994310099573257,0.8583333333333332
49,0.836334360676466,0.7695652173913043,0.7871977240398292,0.6833333333333333
50,0.841802987197724,0.7790934320074004,0.8196301564722617,0.5944444444444443
51,0.8607930298719773,0.8005550416281222,0.8248933143669985,0.6833333333333333
52,0.8681567701304544,0.7939870490286771,0.8273954116059379,0.6611111111111111
53,0.8492521367521368,0.769472710453284,0.765587044534413,0.7777777777777778
54,0.8393780926675664,0.7653098982423681,0.7775978407557356,0.7194444444444443
55,0.8565339631129104,0.7824236817761332,0.8024291497975709,0.6861111111111111
56,0.8653846153846153,0.8293246993524515,0.8856950067476383,0.5694444444444444
57,0.8398597990703254,0.7590425531914894,0.7838056680161943,0.6333333333333333
58,0.8207040035987404,0.7835992907801417,0.8252361673414306,0.6
59,0.8302144249512672,0.8056737588652482,0.8558704453441296,0.5694444444444444
60,0.8500487329434698,0.7967198581560283,0.8251012145748987,0.6694444444444444
61,0.8334945269155796,0.8050531914893616,0.8556005398110662,0.5666666666666667
62,0.8537749287749288,0.6963652482269505,0.6707152496626181,0.8027777777777778
63,0.8476495726495727,0.7724290780141845,0.7794871794871796,0.736111111111111
64,0.8641737891737893,0.7978723404255319,0.8,0.7833333333333333
65,0.848931623931624,0.7596631205673758,0.7538461538461538,0.7861111111111111
66,0.8659544159544159,0.7640070921985815,0.7487179487179487,0.8388888888888889
67,0.874002849002849,0.8066489361702127,0.8102564102564103,0.788888888888889
68,0.8571225071225073,0.801418439716312,0.8307692307692308,0.6805555555555556
69,0.8696581196581196,0.8104609929078015,0.8256410256410256,0.7388888888888889
70,0.8692307692307694,0.7601063829787235,0.7487179487179487,0.8166666666666667
71,0.8814102564102566,0.7977836879432625,0.8102564102564103,0.7416666666666666
72,0.8660256410256411,0.7976063829787234,0.8153846153846154,0.7166666666666667
73,0.8656695156695158,0.788741134751773,0.7794871794871796,0.836111111111111
74,0.8801994301994303,0.7890070921985817,0.7948717948717949,0.7666666666666667
75,0.8574786324786325,0.822695035460993,0.8615384615384617,0.6472222222222223
76,0.8734330484330485,0.8227836879432624,0.8461538461538461,0.725
77,0.8742877492877493,0.826950354609929,0.8615384615384615,0.6666666666666667
78,0.8601851851851852,0.776241134751773,0.7897435897435898,0.7222222222222222
79,0.8697293447293447,0.7807624113475178,0.8205128205128205,0.6027777777777777
80,0.8773504273504272,0.8018617021276595,0.8102564102564103,0.763888888888889
81,0.8655270655270655,0.8057624113475178,0.8564102564102564,0.5805555555555555
82,0.8648860398860398,0.7973404255319149,0.7897435897435898,0.836111111111111
83,0.8816239316239315,0.8187056737588652,0.8307692307692307,0.7694444444444445
